session_id,num_events,num_commands,session_duration,mean_inter_command_time,std_inter_command_time,command_error_rate,file_transfer_ratio,recon_exploit_ratio,login_error_rate,unique_commands_ratio,command_diversity
f8db0ecf5ace,16.0,7.0,61.251924,2.905826166666667,7.107166582086715,0.4285713673469475,0.0,0.0,0.0,0.2857142857142857,6.0
f903a8b2292a,78.0,23.0,29.143226,1.0879220909090905,1.1369389493379185,0.08695651795841226,0.17391303591682453,0.399999920000016,0.0,0.5384615384615384,19.0
f915fc4abfa8,41.0,19.0,76.262341,2.9567062222222225,2.3417491062953864,0.0,0.0,1.9999980000020001,0.0,0.5588235294117647,16.0
f92b97a5ad98,78.0,23.0,49.172312,1.7037170000000001,1.8845972656994412,0.08695651795841226,0.17391303591682453,0.399999920000016,0.0,0.5384615384615384,19.0
f95106038d7c,78.0,23.0,6.25761,0.21223877272727273,0.10376791083031761,0.08695651795841226,0.17391303591682453,0.399999920000016,0.0,0.5384615384615384,19.0
f96320dcd596,16.0,7.0,56.108071,2.6614918333333333,6.505643112157919,0.4285713673469475,0.0,0.0,0.0,0.2857142857142857,6.0
f97aed1b87f2,18.0,10.0,1.114859,0.07292222222222222,0.10049419948780348,0.299999970000003,0.0,0.0,0.0,0.15384615384615385,12.0
f9c3bc2f545d,78.0,23.0,47.870933,1.5850400909090907,1.701119579746454,0.08695651795841226,0.17391303591682453,0.399999920000016,0.0,0.5384615384615384,19.0
f9cf910282f4,77.0,23.0,8.210213,0.2992350454545454,0.20289256124327226,0.08695651795841226,0.1304347769376184,0.49999987500003124,0.0,0.5384615384615384,19.0
fa03a24d8596,13.0,6.0,3.951839,0.0359672,0.07298391848345771,0.33333327777778704,0.0,0.0,0.0,0.16666666666666663,6.0
fa122314d673,41.0,19.0,28.692857,1.1274471666666668,0.16307022067925936,0.0,0.0,1.9999980000020001,0.0,0.5588235294117647,16.0
fa16efaf9ab3,13.0,6.0,1.930957,0.028137000000000002,0.055562167987759446,0.33333327777778704,0.0,0.0,0.0,0.16666666666666663,6.0
fa33d2ea03c6,78.0,23.0,20.96777,0.7791641363636365,0.7312667600750082,0.08695651795841226,0.17391303591682453,0.399999920000016,0.0,0.5384615384615384,19.0
fa576d6fa78e,78.0,23.0,32.588657,1.2080026363636363,1.2502579224019774,0.08695651795841226,0.17391303591682453,0.399999920000016,0.0,0.5384615384615384,19.0
fa68cad9227b,41.0,19.0,5.257516,0.17827483333333335,0.045068657631832064,0.0,0.0,1.9999980000020001,0.0,0.5588235294117647,16.0
fa995f8411bd,41.0,19.0,12.883387,0.4870763888888889,0.08844725812405606,0.0,0.0,1.9999980000020001,0.0,0.5588235294117647,16.0
faac17a04fca,41.0,19.0,14.328653,0.5441758888888889,0.0959372076767427,0.0,0.0,1.9999980000020001,0.0,0.5588235294117647,16.0
fac2579097c9,78.0,23.0,34.221125,1.2561494545454546,1.3558075388278568,0.08695651795841226,0.17391303591682453,0.399999920000016,0.0,0.5384615384615384,19.0
fac7664920e2,19.0,10.0,3.612359,0.16187144444444446,0.15009959279517643,0.299999970000003,0.0,0.9999990000010001,0.499999750000125,0.15384615384615385,12.0
fb20470e373d,78.0,23.0,26.556762,0.9844381363636363,0.9495048640059619,0.08695651795841226,0.17391303591682453,0.399999920000016,0.0,0.5384615384615384,19.0
fb471803fda4,41.0,19.0,29.891831,1.1683625,0.1810961272880657,0.0,0.0,1.9999980000020001,0.0,0.5588235294117647,16.0
fb4fd09e77d5,78.0,23.0,37.80622,1.4370618181818182,1.5465567070939248,0.08695651795841226,0.17391303591682453,0.399999920000016,0.0,0.5384615384615384,19.0
fb5399d14faf,78.0,23.0,44.406649,1.7255826818181819,2.6108416227983318,0.08695651795841226,0.17391303591682453,0.399999920000016,0.0,0.5384615384615384,19.0
fb673abe94ce,16.0,7.0,55.924589,2.6608796666666668,6.508405170680992,0.4285713673469475,0.0,0.0,0.0,0.2857142857142857,6.0
fbae4131e567,41.0,19.0,26.627162,1.0511041666666667,0.23849430096687108,0.0,0.0,1.9999980000020001,0.0,0.5588235294117647,16.0
fbbcceb15a23,78.0,23.0,21.499061,0.8004388636363635,1.0460227787349154,0.08695651795841226,0.17391303591682453,0.399999920000016,0.0,0.5384615384615384,19.0
fbfd60ee4827,78.0,23.0,6.29132,0.21504954545454547,0.1112754210261433,0.08695651795841226,0.17391303591682453,0.399999920000016,0.0,0.5384615384615384,19.0
fc1677e91b7d,13.0,6.0,2.4967230000000002,0.0588808,0.12319836126020507,0.33333327777778704,0.0,0.0,0.0,0.16666666666666663,6.0
fc751ab42903,78.0,23.0,27.508664,1.0609571818181818,1.2926177045552854,0.08695651795841226,0.17391303591682453,0.399999920000016,0.0,0.5384615384615384,19.0
