session_id,num_events,num_commands,session_duration,max_inter_command_time,mean_inter_command_time,std_inter_command_time,command_error_rate,file_transfer_ratio,login_error_rate,reconnaissance_ratio,exploit_ratio,unique_commands_ratio,command_diversity
00081b571122,78.0,23.0,31.249671,6.333993,1.160162590909091,1.173813070538538,0.08695651795841226,0.17391303591682453,0.0,0.02564102531229455,0.06410256328073637,0.5384615384615384,19.0
0076d693f7fd,78.0,23.0,32.132288,6.536506,1.1946877727272727,1.2119329609795897,0.08695651795841226,0.17391303591682453,0.0,0.02564102531229455,0.06410256328073637,0.5384615384615384,19.0
00aa3ae5d33a,78.0,23.0,36.995369,7.981335,1.3884283636363637,1.5297035845435498,0.08695651795841226,0.17391303591682453,0.0,0.02564102531229455,0.06410256328073637,0.5384615384615384,19.0
010ad96c3f21,16.0,7.0,68.448152,19.502649,3.2579643333333337,7.958237811711,0.4285713673469475,0.0,0.0,0.0,0.06249999609375024,0.2857142857142857,6.0
012f382592c2,78.0,23.0,6.00074,0.534131,0.20169277272727273,0.09430697650198466,0.08695651795841226,0.17391303591682453,0.0,0.02564102531229455,0.06410256328073637,0.5384615384615384,19.0
01310728d909,21.0,9.0,17.79219,1.408968,1.24078925,0.21796877057292274,0.0,0.0,0.0,0.09523809070294806,0.04761904535147403,0.5,11.0
0148a3eded81,79.0,23.0,47.535764,9.728765,1.7943122272727272,1.8136145982297847,0.08695651795841226,0.21739129489603065,0.0,0.025316455375741072,0.07594936612722322,0.5384615384615384,19.0
018dc4a4b877,41.0,19.0,12.066789,0.666725,0.4489124444444445,0.10237205179219469,0.0,0.0,0.0,0.048780486615110086,0.024390243307555043,0.5588235294117647,16.0
01da6910d207,41.0,19.0,25.455374,1.164677,1.026140111111111,0.11689568567034402,0.0,0.0,0.0,0.048780486615110086,0.024390243307555043,0.5588235294117647,16.0
01efe494fcc0,16.0,7.0,68.608636,19.424206,3.242623666666667,7.9273244702700225,0.4285713673469475,0.0,0.0,0.0,0.06249999609375024,0.2857142857142857,6.0
02125b4ced9a,41.0,19.0,29.965278,1.308146,1.1802337777777776,0.16321411132603614,0.0,0.0,0.0,0.048780486615110086,0.024390243307555043,0.5588235294117647,16.0
024821112d32,78.0,23.0,10.350692,1.550276,0.3706689090909091,0.2739989146123635,0.08695651795841226,0.17391303591682453,0.0,0.02564102531229455,0.06410256328073637,0.5384615384615384,19.0
0263a6b216dd,77.0,23.0,42.055636,9.345013,1.5796191363636363,1.763732036305248,0.08695651795841226,0.1304347769376184,0.0,0.025974025636700968,0.051948051273401935,0.5384615384615384,19.0
028532e63dc0,41.0,19.0,25.048949,1.149239,1.0413395555555556,0.0791262036222717,0.0,0.0,0.0,0.048780486615110086,0.024390243307555043,0.5588235294117647,16.0
029fbd9f9f17,78.0,23.0,8.61596,0.738894,0.2394497272727273,0.12886146751386485,0.08695651795841226,0.17391303591682453,0.0,0.02564102531229455,0.06410256328073637,0.5384615384615384,19.0
02a7e70ddb65,41.0,19.0,14.07687,0.71286,0.5361218333333333,0.10350607903048355,0.0,0.0,0.0,0.048780486615110086,0.024390243307555043,0.5588235294117647,16.0
02c1bec458bd,78.0,23.0,6.77028,0.720533,0.234483,0.13914539423789438,0.08695651795841226,0.17391303591682453,0.0,0.02564102531229455,0.06410256328073637,0.5384615384615384,19.0
02c2ce40e41c,16.0,7.0,68.342209,19.261767,3.215242,7.8611597418537675,0.4285713673469475,0.0,0.0,0.0,0.06249999609375024,0.2857142857142857,6.0
02c6e6f553b8,77.0,23.0,26.339137,5.192686,0.9702074545454544,0.959298873005733,0.08695651795841226,0.1304347769376184,0.0,0.025974025636700968,0.051948051273401935,0.5384615384615384,19.0
02def60df830,78.0,23.0,5.797791,0.466147,0.19430849999999997,0.10066332996287321,0.08695651795841226,0.17391303591682453,0.0,0.02564102531229455,0.06410256328073637,0.5384615384615384,19.0
02f52673bd4e,41.0,19.0,25.803133,1.198966,1.0646295000000001,0.09934083120855129,0.0,0.0,0.0,0.048780486615110086,0.024390243307555043,0.5588235294117647,16.0
0309e1af2928,41.0,19.0,31.118224,1.673442,1.2872761666666668,0.23213994128244636,0.0,0.0,0.0,0.048780486615110086,0.024390243307555043,0.5588235294117647,16.0
0333fc5c9f29,78.0,23.0,35.262299,7.201333,1.3129574545454548,1.336387433225493,0.08695651795841226,0.17391303591682453,0.0,0.02564102531229455,0.06410256328073637,0.5384615384615384,19.0
