session_id,num_events,num_commands,session_duration,max_inter_command_time,mean_inter_command_time,std_inter_command_time,command_error_rate,file_transfer_ratio,login_error_rate,reconnaissance_ratio,exploit_ratio,unique_commands_ratio,command_diversity,final_cluster,final_cluster_name
00081b571122,78.0,23.0,31.249671,6.333993,1.160162590909091,1.173813070538538,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
0076d693f7fd,78.0,23.0,32.132288,6.536506,1.194687772727273,1.2119329609795897,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
00aa3ae5d33a,78.0,23.0,36.995369,7.981335,1.3884283636363637,1.5297035845435498,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
010ad96c3f21,16.0,7.0,68.448152,19.502649,3.2579643333333337,7.958237811711,0.4285713673469475,0.0,0.0,0.0,0.0624999960937502,0.2857142857142857,6.0,G2_l1_2_3_l2_0,IoT_Mirai_Like_Bots
012f382592c2,78.0,23.0,6.00074,0.534131,0.2016927727272727,0.0943069765019846,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
01310728d909,21.0,9.0,17.79219,1.408968,1.24078925,0.2179687705729227,0.0,0.0,0.0,0.095238090702948,0.047619045351474,0.5,11.0,G2_l1_2_3_l2_0,IoT_Mirai_Like_Bots
0148a3eded81,79.0,23.0,47.535764,9.728765,1.7943122272727272,1.8136145982297849,0.0869565179584122,0.2173912948960306,0.0,0.025316455375741,0.0759493661272232,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
018dc4a4b877,41.0,19.0,12.066789,0.666725,0.4489124444444445,0.1023720517921946,0.0,0.0,0.0,0.04878048661511,0.024390243307555,0.5588235294117647,16.0,G1_l1_0_1,Massive_Automated_Bots
01da6910d207,41.0,19.0,25.455374,1.164677,1.026140111111111,0.116895685670344,0.0,0.0,0.0,0.04878048661511,0.024390243307555,0.5588235294117647,16.0,G1_l1_0_1,Massive_Automated_Bots
01efe494fcc0,16.0,7.0,68.608636,19.424206,3.242623666666667,7.9273244702700225,0.4285713673469475,0.0,0.0,0.0,0.0624999960937502,0.2857142857142857,6.0,G2_l1_2_3_l2_0,IoT_Mirai_Like_Bots
02125b4ced9a,41.0,19.0,29.965278,1.308146,1.1802337777777776,0.1632141113260361,0.0,0.0,0.0,0.04878048661511,0.024390243307555,0.5588235294117647,16.0,G1_l1_0_1,Massive_Automated_Bots
024821112d32,78.0,23.0,10.350692,1.550276,0.3706689090909091,0.2739989146123635,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
0263a6b216dd,77.0,23.0,42.055636,9.345013,1.5796191363636365,1.763732036305248,0.0869565179584122,0.1304347769376184,0.0,0.0259740256367009,0.0519480512734019,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
028532e63dc0,41.0,19.0,25.048949,1.149239,1.0413395555555556,0.0791262036222717,0.0,0.0,0.0,0.04878048661511,0.024390243307555,0.5588235294117647,16.0,G1_l1_0_1,Massive_Automated_Bots
029fbd9f9f17,78.0,23.0,8.61596,0.738894,0.2394497272727273,0.1288614675138648,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
02a7e70ddb65,41.0,19.0,14.07687,0.71286,0.5361218333333333,0.1035060790304835,0.0,0.0,0.0,0.04878048661511,0.024390243307555,0.5588235294117647,16.0,G1_l1_0_1,Massive_Automated_Bots
02c1bec458bd,78.0,23.0,6.77028,0.720533,0.234483,0.1391453942378943,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
02c2ce40e41c,16.0,7.0,68.342209,19.261767,3.215242,7.861159741853767,0.4285713673469475,0.0,0.0,0.0,0.0624999960937502,0.2857142857142857,6.0,G2_l1_2_3_l2_0,IoT_Mirai_Like_Bots
02c6e6f553b8,77.0,23.0,26.339137,5.192686,0.9702074545454544,0.959298873005733,0.0869565179584122,0.1304347769376184,0.0,0.0259740256367009,0.0519480512734019,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
02def60df830,78.0,23.0,5.797791,0.466147,0.1943084999999999,0.1006633299628732,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
02f52673bd4e,41.0,19.0,25.803133,1.198966,1.0646295,0.0993408312085512,0.0,0.0,0.0,0.04878048661511,0.024390243307555,0.5588235294117647,16.0,G1_l1_0_1,Massive_Automated_Bots
0309e1af2928,41.0,19.0,31.118224,1.673442,1.2872761666666668,0.2321399412824463,0.0,0.0,0.0,0.04878048661511,0.024390243307555,0.5588235294117647,16.0,G1_l1_0_1,Massive_Automated_Bots
0333fc5c9f29,78.0,23.0,35.262299,7.201333,1.3129574545454548,1.336387433225493,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
0337088f484d,78.0,23.0,9.182045,1.203733,0.3295647727272727,0.2291198521337752,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
035b50f2544d,16.0,7.0,68.438979,19.373217,3.2338411666666667,7.906647198073818,0.4285713673469475,0.0,0.0,0.0,0.0624999960937502,0.2857142857142857,6.0,G2_l1_2_3_l2_0,IoT_Mirai_Like_Bots
035dd32418e4,16.0,7.0,68.254606,19.170161,3.1983200000000003,7.824572235184285,0.4285713673469475,0.0,0.0,0.0,0.0624999960937502,0.2857142857142857,6.0,G2_l1_2_3_l2_0,IoT_Mirai_Like_Bots
03bd56b9106c,78.0,23.0,33.130693,6.524049,1.2639580909090906,1.215964914454161,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
